mean_ci	sd_ci	min_ci
RF_RF_300_10_100_10_0.75_100	0.700984018249191	0.0417675224299057	0.61870897155361
RF_RF_300_10_100_25_0.5_100	0.698960964585508	0.040843811804972	0.62089715536105
RF_RF_300_10_100_25_0.75_100	0.699902189705738	0.0417269357763449	0.619074492099323
RF_RF_300_10_300_5_0.5_100	0.698223434272427	0.0446079078856636	0.605032822757112
RF_RF_300_10_300_5_0.75_100	0.702043957723447	0.0418528952978097	0.616520787746171
RF_RF_300_10_300_10_0.5_100	0.700288495370943	0.0426184472544593	0.617614879649891
RF_RF_300_10_300_10_0.75_100	0.701271518585368	0.0411866669937472	0.621331828442438
RF_RF_300_10_300_25_0.5_100	0.698008261079862	0.0413592041485543	0.619638826185102
RF_RF_300_10_300_25_0.75_100	0.698892637268891	0.0416562858173282	0.616817155756208
RF_RF_300_10_500_5_0.5_100	0.699961849887661	0.0459331801645245	0.606673960612692
RF_RF_300_10_500_5_0.75_100	0.701828581149051	0.0411756311680793	0.618510158013544
RF_RF_300_10_500_10_0.5_100	0.701374714113057	0.0425609144810921	0.617067833698031
RF_RF_300_10_500_10_0.75_100	0.700927842487948	0.0415351239886442	0.617381489841986
RF_RF_300_10_500_25_0.5_100	0.699083930954073	0.042466534593138	0.619074492099323
RF_RF_300_10_500_25_0.75_100	0.699748008439999	0.0413362437079069	0.61568848758465
RF_RF_300_25_100_5_0.5_100	0.699062835779886	0.0430979188547135	0.617614879649891
RF_RF_300_25_100_5_0.75_100	0.699832269834108	0.0434358613219727	0.61568848758465
RF_RF_300_25_100_10_0.5_100	0.697912786280093	0.0420507511429847	0.61568848758465
RF_RF_300_25_100_10_0.75_100	0.699390201089578	0.0435277738404145	0.610609480812641
RF_RF_300_25_100_25_0.5_100	0.694929818414204	0.0416031062275677	0.616817155756208
RF_RF_300_25_100_25_0.75_100	0.697794274673176	0.0425012688063944	0.61117381489842
RF_RF_300_25_300_5_0.5_100	0.696491752204258	0.0420374896962568	0.613238512035011
RF_RF_300_25_300_5_0.75_100	0.698047801446768	0.0431946051415743	0.611738148984199
RF_RF_300_25_300_10_0.5_100	0.697069532971452	0.0420274805418398	0.621896162528217
RF_RF_300_25_300_10_0.75_100	0.698971612031056	0.0428908304435739	0.61568848758465
RF_RF_300_25_300_25_0.5_100	0.694291892778463	0.0413511125857237	0.624717832957111
RF_RF_300_25_300_25_0.75_100	0.697368787863214	0.043158755069504	0.611738148984199
RF_RF_300_25_500_5_0.5_100	0.698207053744262	0.0440491687302785	0.615973741794311
RF_RF_300_25_500_5_0.75_100	0.69941236878499	0.0433390072305495	0.617381489841986
